178852:::3.791318526605653e-06:::1056:::[955, 1475, 800]:::2191:::[2327, 1997, 1697]
334543:::3.805690142841009e-06:::2162:::[200, 2468, 1493]:::331:::[170, 2177, 1274]
826382:::3.8121748386996603e-06:::5297:::[162, 74, 1404]:::1133:::[2373, 1888, 1930]
529097:::3.821378952660436e-06:::3364:::[194, 1745, 1521]:::961:::[528, 457, 309]
915338:::3.830439804399312e-06:::5900:::[2229, 1514, 1161]:::2224:::[1342, 332, 1908]
548700:::3.843969197283135e-06:::3468:::[152, 1204, 1506]:::1002:::[1772, 2248, 1426]
5556:::3.8446739236377414e-06:::23:::[1584, 1508, 2218]:::2340:::[225, 469, 1534]
486398:::3.844726761215345e-06:::3103:::[1405, 1196, 486]:::919:::[224, 733, 2294]
425235:::3.848351564561932e-06:::2751:::[35, 932, 1575]:::627:::[1529, 1844, 1885]
247378:::3.849358235034114e-06:::1499:::[54, 1073, 872]:::289:::[2253, 849, 1296]
275482:::3.850243823697611e-06:::1740:::[87, 1683, 1]:::1111:::[1404, 2440, 853]
191938:::3.851892770101272e-06:::1130:::[1023, 1758, 2392]:::768:::[1528, 757, 2269]
495549:::3.8542370636045365e-06:::3150:::[632, 423, 2224]:::1566:::[763, 2303, 38]
478509:::3.857881472827306e-06:::3056:::[143, 1574, 671]:::2325:::[1703, 173, 1380]
627232:::3.858898158023221e-06:::3957:::[1861, 2148, 52]:::2180:::[2032, 337, 2131]
655332:::3.860182815014003e-06:::4162:::[2352, 2463, 1161]:::631:::[2508, 220, 1888]
417680:::3.861552678343168e-06:::2701:::[2072, 195, 1704]:::916:::[251, 40, 1871]
787880:::3.868940911285148e-06:::5053:::[612, 145, 158]:::561:::[1383, 1661, 1192]
399568:::3.873116851586631e-06:::2588:::[1634, 552, 84]:::1918:::[424, 1299, 996]
178680:::3.873366698989162e-06:::1056:::[1951, 1682, 1968]:::635:::[2068, 144, 390]
635699:::3.8778487670831125e-06:::4015:::[217, 2371, 2185]:::331:::[2101, 1556, 2167]
322215:::3.879990398983221e-06:::2090:::[1490, 923, 2032]:::1085:::[1445, 1470, 1059]
93010:::3.889270712396246e-06:::547:::[1337, 2094, 179]:::330:::[1703, 405, 1644]
808097:::3.895037549427313e-06:::5176:::[647, 2168, 730]:::556:::[2177, 1901, 1815]
1007:::3.89690629644467e-06:::7:::[509, 881, 1024]:::2393:::[2, 2412, 103]
