itemIdx:::title:::category:::author:::description:::rank
1:::On The Edge: A short menage story in the On The Edge vampire series - Kindle edition:::['Literature & Fiction']:::Visit Amazon's Kallysten Page:::[]:::1,567,365 Paid in Kindle Store (
2:::By Force of Instinct: A Pride &amp; Prejudice Variation - Kindle edition:::['Literature & Fiction']:::Visit Amazon's Abigail Reynolds Page:::[]:::86,915 Paid in Kindle Store (
3:::Assumed Engagement - Kindle edition:::['Literature & Fiction']:::Visit Amazon's Kara Louise Page:::[]:::515,045 Paid in Kindle Store (
4::: Living Dead Girl eBook:::['Teen & Young Adult']:::Visit Amazon's Elizabeth Scott Page:::[]:::275,916 Paid in Kindle Store (
5:::Accidentally Dead (Accidentally Paranormal Novel Book 2) - Kindle edition:::['Romance']:::Visit Amazon's Dakota Cassidy Page:::[]:::339,167 Paid in Kindle Store (
6:::The Gift of Rain: A Novel - Kindle edition:::['Literature & Fiction']:::Visit Amazon's Tan Twan Eng Page:::[]:::88,197 Paid in Kindle Store (
7::: The Knitting Circle:::['Literature & Fiction']:::Visit Amazon's Ann Hood Page:::[]:::61,629 Paid in Kindle Store (
8:::Enjoying the Show (Wicked Warrens Book 1) - Kindle edition:::['Literature & Fiction']:::Visit Amazon's Marie Harte Page:::[]:::616,872 Paid in Kindle Store (
9::: THE GATEWAY (An Epic Fantasy Novella) (Harbinger of Doom series) eBook:::['Literature & Fiction']:::Visit Amazon's Glenn G. Thater Page:::[]:::1,565,858 Paid in Kindle Store (
10:::The Wallflower (Halle Puma Book 1) - Kindle edition:::['Romance']:::Visit Amazon's Dana Marie Bell Page:::[]:::597,568 Paid in Kindle Store (
11:::The Complete Wizard of Oz Collection - Kindle edition:::["Children's eBooks"]:::L. Frank Baum:::[]:::1,869,687 Paid in Kindle Store (
12::: The Total Money Makeover:::['Business & Money']:::Visit Amazon's Dave Ramsey Page:::[]:::3,738,357 Paid in Kindle Store (
13:::Murder Game (Ghostwalker Novel Book 7) - Kindle edition:::['Romance']:::Visit Amazon's Christine Feehan Page:::[]:::78,698 Paid in Kindle Store (
14:::My Lady Compelled (Archangels Book 1) - Kindle edition:::['Literature & Fiction']:::Visit Amazon's Shirl Anders Page:::[]:::15,536 Free in Kindle Store (
15:::Alpha and Omega: A Companion Novella to Cry Wolf - Kindle edition:::['Literature &amp; Fiction']:::Visit Amazon's Patricia Briggs Page:::[]:::34,922 Paid in Kindle Store (
16:::The Strength of Three - Kindle edition:::['Literature & Fiction']:::Visit Amazon's Annmarie McKenna Page:::[]:::523,932 Paid in Kindle Store (
17:::Green Rider - Kindle edition:::['Literature &amp; Fiction']:::Visit Amazon's Kristen Britain Page:::[]:::40,792 Paid in Kindle Store (
18::: The Dawning of Power:::['Science Fiction & Fantasy']:::Visit Amazon's Brian Rathbone Page:::[]:::477,680 Paid in Kindle Store (
19:::Age before Beauty (Sister-to-Sister, Book 2) - Kindle edition:::['Religion & Spirituality']:::Visit Amazon's Virginia Smith Page:::[]:::722,421 Paid in Kindle Store (
20:::For Sale in Palm Springs (Henry Wright Mystery Book 1) - Kindle edition:::['Mystery, Thriller & Suspense']:::Visit Amazon's Albert Simon Page:::[]:::12,293 Free in Kindle Store (
21::: Surviving the Fog eBook:::['Literature & Fiction']:::Visit Amazon's Stan Morris Page:::[]:::1,711,689 Paid in Kindle Store (
